cpu_pin,status,in_pins_csv,connection,source_file,source_page,reason
PD04,RESERVED,NO,SD card CMD via U601,core,core 2/6,Connected to the onboard SD card through a TXB0108 level translator
PD05,RESERVED,NO,SD card CLK via U601,core,core 2/6,Connected to the onboard SD card through a TXB0108 level translator
PD07,RESERVED,NO,SD card detect via U601,core,core 2/6,Connected to the onboard SD card interface
P004,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P005,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P006,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P008,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P009,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P012,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P013,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P015,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P108,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P109,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P110,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P112,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P113,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P114,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P115,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P200,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P201,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P206,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P207,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P212,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P213,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P214,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P215,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P300,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P301,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P302,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P303,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P304,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P305,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P306,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P307,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P308,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P309,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P310,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P311,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P312,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P400,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P401,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P402,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P403,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P404,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P405,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P406,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P408,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P409,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P410,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P411,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P412,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P413,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P414,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P415,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P500,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P501,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P503,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P504,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P505,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P506,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P507,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P508,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P509,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P510,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P511,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P512,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P513,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P514,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P515,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P600,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P601,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P602,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P603,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P604,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P605,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P606,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P607,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P608,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P609,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P610,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P611,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P612,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P613,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P614,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P615,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P700,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P701,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P702,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P703,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P704,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P705,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P706,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P707,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P708,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P709,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P710,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P711,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P712,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P713,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P714,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P715,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P805,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P806,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P807,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P811,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P813,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P902,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P903,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P904,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P905,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P906,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P907,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P908,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P909,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P910,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P911,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P912,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P913,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P914,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
P915,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA00,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA01,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA02,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA03,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA04,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA05,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA06,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA07,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA08,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA09,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA10,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA11,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA12,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA13,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA14,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PA15,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB00,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB01,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB02,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB03,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB04,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB05,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB06,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PB07,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC00,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC01,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC02,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC03,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC04,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC05,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC06,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC07,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC08,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC11,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC12,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC13,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PC14,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PD00,UNKNOWN,NO,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
PD06,UNKNOWN,YES,Unresolved,core+expansion,unresolved,No verified user-accessible route or populated peripheral classification yet
